FeldShort,Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Coiffeur,Coiffeurgewerbe und Schönheitspflege,,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,ZH,abt-total,270,0,270,50,0,50,220,0,220
Coiffeur,Coiffeurgewerbe und Schönheitspflege,ZH,EFZ,244,0,244,45,0,45,199,0,199
Coiffeur,Coiffeurgewerbe und Schönheitspflege,ZH,EBA,26,0,26,5,0,5,21,0,21
Coiffeur,Coiffeurgewerbe und Schönheitspflege,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,BE,abt-total,151,0,151,10,0,10,141,0,141
Coiffeur,Coiffeurgewerbe und Schönheitspflege,BE,EFZ,138,0,138,7,0,7,131,0,131
Coiffeur,Coiffeurgewerbe und Schönheitspflege,BE,EBA,13,0,13,3,0,3,10,0,10
Coiffeur,Coiffeurgewerbe und Schönheitspflege,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,LU,abt-total,72,0,72,2,0,2,70,0,70
Coiffeur,Coiffeurgewerbe und Schönheitspflege,LU,EFZ,61,0,61,1,0,1,60,0,60
Coiffeur,Coiffeurgewerbe und Schönheitspflege,LU,EBA,11,0,11,1,0,1,10,0,10
Coiffeur,Coiffeurgewerbe und Schönheitspflege,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,UR,abt-total,6,0,6,0,0,0,6,0,6
Coiffeur,Coiffeurgewerbe und Schönheitspflege,UR,EFZ,6,0,6,0,0,0,6,0,6
Coiffeur,Coiffeurgewerbe und Schönheitspflege,UR,EBA,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,SZ,abt-total,18,0,18,0,0,0,18,0,18
Coiffeur,Coiffeurgewerbe und Schönheitspflege,SZ,EFZ,18,0,18,0,0,0,18,0,18
Coiffeur,Coiffeurgewerbe und Schönheitspflege,SZ,EBA,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,OW,abt-total,4,0,4,0,0,0,4,0,4
Coiffeur,Coiffeurgewerbe und Schönheitspflege,OW,EFZ,4,0,4,0,0,0,4,0,4
Coiffeur,Coiffeurgewerbe und Schönheitspflege,OW,EBA,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,NW,abt-total,5,0,5,0,0,0,5,0,5
Coiffeur,Coiffeurgewerbe und Schönheitspflege,NW,EFZ,4,0,4,0,0,0,4,0,4
Coiffeur,Coiffeurgewerbe und Schönheitspflege,NW,EBA,1,0,1,0,0,0,1,0,1
Coiffeur,Coiffeurgewerbe und Schönheitspflege,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,GL,abt-total,14,0,14,0,0,0,14,0,14
Coiffeur,Coiffeurgewerbe und Schönheitspflege,GL,EFZ,13,0,13,0,0,0,13,0,13
Coiffeur,Coiffeurgewerbe und Schönheitspflege,GL,EBA,1,0,1,0,0,0,1,0,1
Coiffeur,Coiffeurgewerbe und Schönheitspflege,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,ZG,abt-total,25,0,25,2,0,2,23,0,23
Coiffeur,Coiffeurgewerbe und Schönheitspflege,ZG,EFZ,22,0,22,2,0,2,20,0,20
Coiffeur,Coiffeurgewerbe und Schönheitspflege,ZG,EBA,3,0,3,0,0,0,3,0,3
Coiffeur,Coiffeurgewerbe und Schönheitspflege,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,FR,abt-total,51,0,51,2,0,2,49,0,49
Coiffeur,Coiffeurgewerbe und Schönheitspflege,FR,EFZ,49,0,49,1,0,1,48,0,48
Coiffeur,Coiffeurgewerbe und Schönheitspflege,FR,EBA,2,0,2,1,0,1,1,0,1
Coiffeur,Coiffeurgewerbe und Schönheitspflege,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,SO,abt-total,30,0,30,2,0,2,28,0,28
Coiffeur,Coiffeurgewerbe und Schönheitspflege,SO,EFZ,25,0,25,1,0,1,24,0,24
Coiffeur,Coiffeurgewerbe und Schönheitspflege,SO,EBA,5,0,5,1,0,1,4,0,4
Coiffeur,Coiffeurgewerbe und Schönheitspflege,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,BS,abt-total,44,0,44,3,0,3,41,0,41
Coiffeur,Coiffeurgewerbe und Schönheitspflege,BS,EFZ,40,0,40,2,0,2,38,0,38
Coiffeur,Coiffeurgewerbe und Schönheitspflege,BS,EBA,4,0,4,1,0,1,3,0,3
Coiffeur,Coiffeurgewerbe und Schönheitspflege,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,BL,abt-total,26,0,26,6,0,6,20,0,20
Coiffeur,Coiffeurgewerbe und Schönheitspflege,BL,EFZ,22,0,22,3,0,3,19,0,19
Coiffeur,Coiffeurgewerbe und Schönheitspflege,BL,EBA,4,0,4,3,0,3,1,0,1
Coiffeur,Coiffeurgewerbe und Schönheitspflege,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,SH,abt-total,19,0,19,3,0,3,16,0,16
Coiffeur,Coiffeurgewerbe und Schönheitspflege,SH,EFZ,15,0,15,3,0,3,12,0,12
Coiffeur,Coiffeurgewerbe und Schönheitspflege,SH,EBA,4,0,4,0,0,0,4,0,4
Coiffeur,Coiffeurgewerbe und Schönheitspflege,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,AR,abt-total,8,0,8,1,0,1,7,0,7
Coiffeur,Coiffeurgewerbe und Schönheitspflege,AR,EFZ,8,0,8,1,0,1,7,0,7
Coiffeur,Coiffeurgewerbe und Schönheitspflege,AR,EBA,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,AI,abt-total,2,0,2,0,0,0,2,0,2
Coiffeur,Coiffeurgewerbe und Schönheitspflege,AI,EFZ,2,0,2,0,0,0,2,0,2
Coiffeur,Coiffeurgewerbe und Schönheitspflege,AI,EBA,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,SG,abt-total,139,0,139,14,0,14,125,0,125
Coiffeur,Coiffeurgewerbe und Schönheitspflege,SG,EFZ,121,0,121,13,0,13,108,0,108
Coiffeur,Coiffeurgewerbe und Schönheitspflege,SG,EBA,18,0,18,1,0,1,17,0,17
Coiffeur,Coiffeurgewerbe und Schönheitspflege,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,GR,abt-total,42,0,42,2,0,2,40,0,40
Coiffeur,Coiffeurgewerbe und Schönheitspflege,GR,EFZ,40,0,40,2,0,2,38,0,38
Coiffeur,Coiffeurgewerbe und Schönheitspflege,GR,EBA,2,0,2,0,0,0,2,0,2
Coiffeur,Coiffeurgewerbe und Schönheitspflege,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,AG,abt-total,125,0,125,11,0,11,114,0,114
Coiffeur,Coiffeurgewerbe und Schönheitspflege,AG,EFZ,119,0,119,8,0,8,111,0,111
Coiffeur,Coiffeurgewerbe und Schönheitspflege,AG,EBA,6,0,6,3,0,3,3,0,3
