"Eintritte nach Ausbildungsfeld, Kanton, Ausbildungstyp, Geschlecht und Ausbildungsform"

"Ausbildungsfeld";"Kanton";"Ausbildungstyp";"Geschlecht - Total Ausbildungsform - Total 2011";"Geschlecht - Total Vollschulisch 2011";"Geschlecht - Total Dual 2011";"Mann Ausbildungsform - Total 2011";"Mann Vollschulisch 2011";"Mann Dual 2011";"Frau Ausbildungsform - Total 2011";"Frau Vollschulisch 2011";"Frau Dual 2011"
"Musik und darstellende Kunst";"Schweiz";"EFZ";27;10;17;12;2;10;15;8;7
"Musik und darstellende Kunst";"Schweiz";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Schweiz";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Zürich";"Ausbildungstyp - Total";17;0;17;10;0;10;7;0;7
"Musik und darstellende Kunst";"Zürich";"EFZ";17;0;17;10;0;10;7;0;7
"Musik und darstellende Kunst";"Zürich";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Zürich";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Bern / Berne";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Bern / Berne";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Bern / Berne";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Bern / Berne";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Luzern";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Luzern";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Luzern";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Luzern";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Uri";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Uri";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Uri";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Uri";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Schwyz";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Schwyz";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Schwyz";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Schwyz";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Obwalden";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Obwalden";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Obwalden";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Obwalden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Nidwalden";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Nidwalden";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Nidwalden";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Nidwalden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Glarus";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Glarus";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Glarus";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Glarus";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Zug";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Zug";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Zug";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Zug";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Fribourg / Freiburg";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Fribourg / Freiburg";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Fribourg / Freiburg";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Fribourg / Freiburg";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Solothurn";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Solothurn";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Solothurn";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Solothurn";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Basel-Stadt";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Basel-Stadt";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Basel-Stadt";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Basel-Stadt";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Basel-Landschaft";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Basel-Landschaft";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Basel-Landschaft";"EBA";0;0;0;0;0;0;0;0;0
